district,total_population,population_density_sq_km,literacy_rate_pct,employment_rate_pct,unemployment_rate_pct,urban_pop_pct,rural_pop_pct,last_updated,data_source
Bengaluru City,9621551,4381,87.67,58.40,5.20,100.00,0.00,2026-01-15,DEMONSTRATION DATA — FOR PROTOTYPE ANALYTICS ONLY
Mysuru,3001120,476,72.79,52.10,4.80,41.50,58.50,2026-01-15,DEMONSTRATION DATA — FOR PROTOTYPE ANALYTICS ONLY
Belagavi,4779661,356,73.48,49.80,6.10,25.30,74.70,2026-01-15,DEMONSTRATION DATA — FOR PROTOTYPE ANALYTICS ONLY
Dakshina Kannada,2089649,457,88.57,56.20,4.10,47.60,52.40,2026-01-15,DEMONSTRATION DATA — FOR PROTOTYPE ANALYTICS ONLY
Dharwad,1847023,434,80.00,53.90,5.70,56.80,43.20,2026-01-15,DEMONSTRATION DATA — FOR PROTOTYPE ANALYTICS ONLY
Kalaburagi,2566326,233,64.85,46.30,7.80,32.50,67.50,2026-01-15,DEMONSTRATION DATA — FOR PROTOTYPE ANALYTICS ONLY
Tumakuru,2678980,253,75.14,51.00,4.90,22.40,77.60,2026-01-15,DEMONSTRATION DATA — FOR PROTOTYPE ANALYTICS ONLY
Shivamogga,1752753,207,80.45,50.50,5.00,35.60,64.40,2026-01-15,DEMONSTRATION DATA — FOR PROTOTYPE ANALYTICS ONLY
Ballari,2452595,290,67.43,48.70,7.20,37.50,62.50,2026-01-15,DEMONSTRATION DATA — FOR PROTOTYPE ANALYTICS ONLY
Vijayapura,2177331,207,67.15,47.90,6.80,23.10,76.90,2026-01-15,DEMONSTRATION DATA — FOR PROTOTYPE ANALYTICS ONLY
