transaction_id,from_account,to_account,amount,timestamp,transaction_type,location,linked_case_id,risk_flag,data_source
TXN_DEMO_1001,ACC_DEMO_001,ACC_DEMO_002,450000,2026-01-10T10:15:00Z,Wire Transfer,Bengaluru,CASE_KSP_2025_001,High Value,SIMULATED FINANCIAL DATA - FOR DEMONSTRATION PURPOSES ONLY
TXN_DEMO_1002,ACC_DEMO_002,ACC_DEMO_003,440000,2026-01-10T10:22:00Z,IMPS,Bengaluru,CASE_KSP_2025_001,Rapid Transfer,SIMULATED FINANCIAL DATA - FOR DEMONSTRATION PURPOSES ONLY
TXN_DEMO_1003,ACC_DEMO_003,ACC_DEMO_004,435000,2026-01-10T10:30:00Z,RTGS,Mysuru,CASE_KSP_2025_001,Rapid Transfer,SIMULATED FINANCIAL DATA - FOR DEMONSTRATION PURPOSES ONLY
TXN_DEMO_1004,ACC_DEMO_004,ACC_DEMO_001,430000,2026-01-10T10:45:00Z,Wire Transfer,Bengaluru,CASE_KSP_2025_001,Circular Transaction,SIMULATED FINANCIAL DATA - FOR DEMONSTRATION PURPOSES ONLY
TXN_DEMO_1005,ACC_DEMO_005,ACC_DEMO_006,1200000,2026-01-12T14:00:00Z,RTGS,Mangaluru,CASE_KSP_2025_002,High Value,SIMULATED FINANCIAL DATA - FOR DEMONSTRATION PURPOSES ONLY
TXN_DEMO_1006,ACC_DEMO_006,ACC_DEMO_007,1180000,2026-01-12T14:15:00Z,Wire Transfer,Hubballi,CASE_KSP_2025_002,Rapid Transfer,SIMULATED FINANCIAL DATA - FOR DEMONSTRATION PURPOSES ONLY
TXN_DEMO_1007,ACC_DEMO_008,ACC_DEMO_009,250000,2026-01-14T09:00:00Z,UPI,Belagavi,CASE_KSP_2025_003,Normal,SIMULATED FINANCIAL DATA - FOR DEMONSTRATION PURPOSES ONLY
TXN_DEMO_1008,ACC_DEMO_009,ACC_DEMO_010,248000,2026-01-14T09:05:00Z,IMPS,Belagavi,CASE_KSP_2025_003,High Frequency,SIMULATED FINANCIAL DATA - FOR DEMONSTRATION PURPOSES ONLY
TXN_DEMO_1009,ACC_DEMO_010,ACC_DEMO_008,245000,2026-01-14T09:12:00Z,NEFT,Belagavi,CASE_KSP_2025_003,Circular Transaction,SIMULATED FINANCIAL DATA - FOR DEMONSTRATION PURPOSES ONLY
TXN_DEMO_1010,ACC_DEMO_011,ACC_DEMO_012,750000,2026-01-18T16:30:00Z,RTGS,Kalaburagi,CASE_KSP_2025_004,High Value,SIMULATED FINANCIAL DATA - FOR DEMONSTRATION PURPOSES ONLY
